description,delta_run_exp
ball,0.058
foul,0.0
hit_by_pitch,0.388
strike,-0.086
100_105_FB,0.574
100_105_GB,0.034
100_105_LD,0.342
100_105_PU,-0.281
90_95_FB,-0.178
90_95_GB,-0.051
90_95_LD,0.195
90_95_PU,-0.257
95_100_FB,0.039
95_100_GB,0.004
95_100_LD,0.248
95_100_PU,-0.249
<90_FB,-0.129
<90_GB,-0.116
<90_LD,0.219
<90_PU,-0.229
>105_FB,1.156
>105_GB,0.079
>105_LD,0.468
>105_PU,-0.211
Cent_FB,0.013
Cent_GB,-0.069
Cent_LD,0.235
Cent_PU,-0.232
Oppo_FB,-0.05
Oppo_GB,0.101
Oppo_LD,0.254
Oppo_PU,-0.231
Pull_FB,0.477
Pull_GB,-0.092
Pull_LD,0.353
Pull_PU,-0.235
